person_id,title,firm,Calculated Duration
1044,"Executive Account, Manager of Database Administrators Database Manager Level 1 Senior Oracle Database Administrator Database Administrator Programmer/Analyst",IBM Windstream Communications NuVox Communications Fluor Daniel Corporation Liberty Life Corporation,28
1045,Senior Oracle Database Administrator Oracle Database Administrator Database Administrator Junior Database Administrator Database Coordinator,U.S. Department of Labor ATMAN Corporation ICF Business Wire Kushi Foundation,16
1046,Linux System Administrator Oracle Database Administrator Oracle Exadata Administrator Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator Oracle Database Administrator Consultant Level II HP-UX System Engineer Consultant Senior Oracle Database Administrator Senior Oracle Database Administrator Consultant Consultant,"State of New Mexico, Children, Youth, and Families TEKsystems State of New Mexico Workforce Solutions TEKsystems American Express Corporation e Solutions TEKsystems Atmospheric and Environmental Research Glacier Technical Solutions LLC Hewlett Packard Corporation Gantec Corporation Comcast Cable Corporation EDP Recruiting Services, Inc ISYS Technologies DBA Knowledge",0
1047,Sr. Database Administrator Software QA Engineer,Federal State Statistics Service ValleyTech,27
1048,Sr. Database Engineer Data Management Analyst III Database Developer Database Developer Database Administrator Database Administrator Database Administrator Database Administrator Consultant Programmer VI Software Engineer Senior Systems Analyst,Dun & Bradstreet Q2ebanking.com HomeAway.com HotSchedules.com Comsys/Manpower at Dell PBS&J CTG at PBS&J Compadre LLC CTG at PBS&J Texas Education Agency NF Consulting BAE Systems,27
1049,Calculus Tutor Database Administrator,DARTMOUTH COLLEGE WORLD CASING CORP,9
1050,Senior SQL Server Database Administrator Senior Database Administrator IT Manager Crystal Reports Report developer Sr. Database Administrator,National Heritage Academies Bissell Homecare Manufacturers Supply Company National Heritage Academies Paulstra CRC,27
1051,Senior Infrastructure Operations Analyst Oracle Database Administrator/Linux System Administrator Oracle Database Administrator Software Engineer 5 Senior Oracle Database Administrator Senior Technical Analyst (Database Administrator) Database Engineer Oracle Database Administrator Senior Technical Associate Program Manager,"T Rowe Price Baltimore County Government Data Systems Analysts, Inc Honeywell Technology Solutions, Inc Telecommunication Systems, Inc Stanley Black and Decker, Inc University of Maryland at Baltimore Towson University Towson University Potomac Research International",26
1052,MS SQL Server Database Administrator MS SQL Server Database Administrator MS SQL Server Database Administrator MS SQL Server Database Administrator,Wells Fargo Pechanga Resort & Casino ConMed Corporation Home-Design,16
1053,SQL Database Administrator QA/QC Database Geologist District Geologist Database Geologist Geologist Supervisor Exploration Geologist Geophysicist,"Barrick Gold Corporation Kinross Gold Mining, Tasiast Kinross Gold Mining, Tasiast Kinross Gold Mining, Tasiast Red Back Mining Inc Red Back Mining Inc Different Hydrogeological offices",0
